Text/Size
día,;71
seis;71
llaman;71
lengua;71
muerte;71
palabra;71
podrá;71
traía;71
e;71
partes;70
cuán;70
quería;70
nuevas;70
Dulcinea,;70
Sancho.;70
Rocinante;70
to;70
valeroso;69
cierto;69
cabeza,;69
estado;69
¡oh;69
pasó;69
libro;69
Ya;69
solo;68
hijo;68
paso;68
parecía;68
señores;68
cura,;67
parte,;67
estando;67
alguno;67
or;67
fe;67
sí,;66
mí,;66
hoy;66
bachiller;66
tiempo,;66
and;66
venta;66
nuestros;65
suelo,;65
ínsula;65
Lo;65
Pedro;64
haré;64
muestras;64
mercedes;64
natural;64
llegar;64
halló;64
comer;64
quizá;64
hacen;64
falta;64
Señor;64
carta;63
puerta;63
autor;63
éste;63
ello;63
pie,;63
tomó;63
lágrimas;63
Quijote?;;62
lugar,;62
barbero;62
ésta;62
preguntó;62
quisiera;62
Los;62
presto;62
padre,;62
hemos;62
entró;62
sean;61
haga;61
todos,;61
maese;61
otro,;61
caballería;61
vida.;61
fuere;61
alguna,;60
gobierno;60
andar;60
peligro;60
querer;60
señores,;60
luego,;60
brazos;59
oír;59
allá;59
bueno;59
ningún;59
semejantes;59
muerto;59
condición;59
señal;59
rucio,;59
Quijote?.;58
cuyo;58
respondió:;58
años;58
llamaba;58
dellos;58
Sancho:;58
ti;58
licencia;57
diese;57
boca;57
esperar;57
tuviese;57
Teresa;57
diez;57
hicieron;57
pensaba;56
ante;56
hago;56
par;56
luz;56
mirar;56
gana;56
poco,;56
querría;56
barbero,;56
?preguntó;56
tanto,;56
queda;56
venta,;56
in;56
gracias;55
mandó;55
pan;55
creer;55
gobernador,;55
Que;55
manera,;55
finalmente,;55
aquí,;55
loco;54
media;54
destos;54
suelen;54
estaba,;54
tenían;54
mozo;54
hermano;54
estuvo;54
hubiese;54
Gutenberg-tm;53
locura;53
sucedió;53
ellos,;53
andante,;53
dejando;53
pensamientos;53
armas,;53
trabajo;52
sol;52
honra;52
lleno;52
suceso;52
leído;52
temor;52
conmigo;52
ojos,;52
rostro,;52
sola;51
vieron;51
duda,;51
¿No;51
tenido;51
cerca;51
mayores;51
palabra,;51
Cardenio;51
destas;51
haciendo;51
dolor;51
figura;51
noticia;51
quitar;51
quedaron;50
espada;50
you;50
historia,;50
llamar;50
ciudad;50
poca;50
llegaron;50
venían;50
rico;50
acaso;50
acabó;50
castillo,;50
habrá;50
sacar;50
hallar;50
darle;49
principio;49
vea;49
mío;49
eres;49
doy;49
diablo;49
Sancho?;;49
adelante,;49
veinte;49
pesar;48
servir;48
principal;48
antes,;48
Quijote:;48
tú,;48
voy;48
¿Quién;48
hallado;48
Dorotea;48
aventuras;48
priesa;48
Mas;48
Fernando,;48
remedio;48
alta;47
encima;47
¿quién;47
deben;47
Triste;47
esperando;47
edad;47
Donde;47
razones,;47
cuidado;47
espacio;47
asimismo;47
hacia;47
acabar;47
vi;47
Luscinda;46
dueña;46
daré;46
Porque;46
virtud;46
Anselmo,;46
van;46
especialmente;46
cuento;46
agua;46
criados;46
dijo,;46
llama;46
trae;46
Sansón;46
nuestras;46
quieres;46
espada,;46
pensamiento;46
marido;46
libertad;46
pueblo;46
consigo;45
ventero,;45
labrador;45
hacer,;45
vestido;45
paz;45
pasado;45
esté;45
esas;45
caer;45
pastor;45
gusto,;45
doncellas;45
dijese;45
iban;45
ventero;45
hazañas;45
libre;45
pusieron;45
rucio;45
fueran;45
dije;45
diga;45
Sí;45
puesta;44
Quijote;;44
nueva;44
campo;44
ser,;44
sucesos;44
della;44
aposento;44
with;44
andaba;44
oro;44
género;44
leer;44
Camila,;44
hecho,;44
lejos;44
dejado;44
discurso;44
Señor,;44
años,;44
cuando,;44
duquesa,;44
valiente;44
reina;43
perder;43
madre;43
grandeza;43
mañana;43
resolución,;43
dan;43
venga;43
ahora,;43
vos,;43
Cuando;43
subir;43
caballería,;43
contar;43
o,;43
dormir;42
escuderos;42
duque,;42
veo;42
sacó;42
responder;42
pasaba;42
ejercicio;42
tienes;42
compañía;42
lado;42
mirando;42
ánimo;42
princesa;42
ventura,;42
daño;41
reino;41
darme;41
caballeros,;41
aposento,;41
Dorotea,;41
cueva;41
batalla;41
cierto,;41
pueblo,;41
pidió;41
cinco;41
ahí;41
Sancho?.;41
primer;41
necesidad;41
llegando;41
dónde;41
brazo;41
llamado;41
