Text/Size
zoraida;78
misma;77
pueda;77
sean;77
desgracia;77
rico;76
seis;76
brazo;76
caballerías;76
honra;76
agua;76
falta;76
mercedes;76
or;76
criado;75
sansón;75
haga;75
doña;75
presto;75
hubiera;75
ama;74
dueña;74
semejantes;74
debajo;74
españa;74
podrá;74
sucedió;74
eres;74
hoy;74
valeroso;73
fortuna;73
nuestros;73
priesa;73
silencio;73
jumento;73
remedio;73
reino;72
venían;72
cuán;72
hacen;72
deseos;72
licencia;71
labrador;71
doncellas;71
espacio;71
condición;71
entró;71
llegar;70
cristiano;70
cristianos;70
halló;70
padres;70
discreto;70
llegaron;69
gracias;69
leído;69
you;69
quisiere;69
haré;69
vestido;69
fuere;69
hicieron;69
and;68
pensaba;68
mandó;68
tomó;67
suceso;67
querría;67
pasado;67
suya;67
creer;66
virtud;66
tenían;66
bosque;66
par;66
hazañas;66
mayores;66
espaldas;66
silla;65
andar;65
ánimo;65
hago;65
oír;65
esperar;65
muestras;65
luz;65
leer;65
hemos;65
barbas;65
sangre;65
antonio;65
culpa;64
hidalgo;64
escuderos;64
tenido;64
amigos;64
llamaba;64
querer;64
pan;64
lanza;64
criados;64
señal;64
verde;63
edad;63
ansí;63
noticia;63
discurso;63
maese;63
grandeza;63
dije;63
enemigo;62
dormir;62
hijos;62
dónde;62
altisidora;62
encantadores;62
daño;61
consigo;61
sola;61
obra;61
azotes;61
sucesos;61
compañía;61
queda;61
ahí;60
diese;60
renegado;60
oyendo;60
haciendo;60
dolor;60
tuviese;60
temor;60
ningún;60
carrasco;60
in;60
hallado;60
provecho;59
resolución;59
principal;59
quedaron;59
dineros;59
cuyo;59
hambre;59
paz;59
hubiese;59
tienes;59
diez;59
oídos;58
obras;58
mirar;58
sobrina;58
vieron;58
media;58
acabó;58
vea;58
presente;58
mar;58
diga;58
llama;57
pastor;57
venga;57
principio;57
nueva;57
enamorado;57
dijese;57
veo;57
ante;57
estuvo;57
esposo;57
pasaba;57
libre;57
valiente;57
vi;57
tm;57
reina;56
caer;56
sois;56
licenciado;56
necesidad;56
oficio;56
poeta;56
encantado;56
hallar;56
quitar;56
lado;56
consejo;56
dueñas;55
destos;55
suelen;55
reales;55
alta;55
princesa;55
responder;55
encima;55
aldea;55
darle;54
mirando;54
lejos;54
acaso;54
vencido;54
veinte;54
llamar;54
aire;54
letras;54
plática;54
esperando;54
lleno;54
discreción;54
carro;53
servir;53
destas;53
quieres;53
hacienda;53
dejando;53
miedo;53
cuidado;53
blanca;53
oyó;53
habrá;53
ejercicio;53
prosiguió;53
dentro;53
fuego;53
doy;53
daré;52
diciéndole;52
risa;52
gigante;52
versos;52
verdadera;52
mujeres;52
iban;52
moros;52
asimismo;52
roque;52
acuerdo;52
contar;52
acabar;52
burla;51
sucedido;51
sepa;51
llegando;51
presencia;51
voy;51
basilio;51
montesinos;51
contó;51
negocio;51
servido;51
esposa;51
escrito;51
segunda;51
poca;51
verdadero;50
historias;50
claro;50
sacar;50
señoras;50
supo;50
presentes;50
acá;49
trae;49
puesta;49
fuerzas;49
pesar;49
santa;49
sacó;49
huésped;49
dejado;49
ruido;49
andaba;49
decís;49
justicia;49
deben;49
bondad;49
efecto;49
enemigos;49
dan;49
general;48
dices;48
paje;48
respuesta;48
nuestras;48
vestidos;48
salud;48
van;48
especialmente;48
personas;48
moro;48
blanco;48
conocido;48
pusieron;48
hacia;48
disparates;48
término;48
verdaderamente;48
diré;48
cinco;47
propósito;47
vuelto;47
toca;47
real;47
emperador;47
pocos;47
género;47
esas;47
perder;47
sabes;47
aquél;47
pesadumbre;47
pidió;47
cólera;47
llegado;46
darme;46
venido;46
cabrero;46
mirad;46
tarde;46
cargo;46
todavía;46
muestra;46
cabellos;46
cueva;46
quieren;46
cortesía;46
primo;46
efeto;46
esté;46
fueran;46
entiendo;46
año;46
imaginación;46
dueño;45
peor;45
albarda;45
árboles;45
conocer;45
viento;45
cuál;45
escudos;45
sueño;45
work;45
horas;45
favor;45
instante;45
with;45
pudiese;45
sabio;45
estremo;45
mesa;45
esperanza;45
opinión;44
gloria;44
capitán;44
hechos;44
amores;44
arriba;44
basta;44
this;44
llevaba;44
corte;44
anda;44
belleza;44
guerra;44
vivo;44
leonela;44
honestidad;44
ingenio;44
vamos;44
fuesen;44
tuvieron;44
desdichado;44
diego;43
amadís;43
buscando;43
adónde;43
subir;43
cautivo;43
contado;43
quedar;43
tiempos;43
oyeron;42
éstos;42
venganza;42
rodríguez;42
llamado;42
linaje;42
largo;42
alto;42
jardín;42
mono;42
imposible;42
clara;42
mejores;42
doce;42
